cmd=limits lib=pthread power=26
threads,sys,user,elapsed
1,0.000,4.197,4.203
2,0.000,4.187,2.100
3,0.000,4.230,1.413
4,0.000,4.300,1.080
5,0.000,5.220,1.307
6,0.000,5.833,1.117
7,0.000,6.887,1.090
8,0.003,7.743,1.003
