draw,pthread,26,1,0.25,13.79,14.14
draw,pthread,26,1,0.23,13.88,14.20
draw,pthread,26,1,0.24,13.87,14.20
draw,pthread,26,2,0.24,14.10,7.34
draw,pthread,26,2,0.24,14.08,7.33
draw,pthread,26,2,0.27,14.07,7.34
draw,pthread,26,3,0.28,14.06,5.14
draw,pthread,26,3,0.26,14.11,5.14
draw,pthread,26,3,0.25,14.06,5.11
draw,pthread,26,4,0.27,14.30,3.93
draw,pthread,26,4,0.27,14.69,4.04
draw,pthread,26,4,0.26,14.75,4.06
draw,pthread,26,5,0.34,18.26,4.82
draw,pthread,26,5,0.29,17.55,4.70
draw,pthread,26,5,0.27,17.22,4.61
draw,pthread,26,6,0.31,19.71,4.14
draw,pthread,26,6,0.33,20.31,4.25
draw,pthread,26,6,0.31,20.52,4.28
draw,pthread,26,7,0.32,23.27,3.96
draw,pthread,26,7,0.34,23.70,4.04
draw,pthread,26,7,0.35,23.37,4.01
draw,pthread,26,8,0.36,26.44,3.69
draw,pthread,26,8,0.34,26.25,3.65
draw,pthread,26,8,0.37,26.43,3.68
draw,tbb,26,1,0.25,14.00,14.35
draw,tbb,26,1,0.26,13.95,14.30
draw,tbb,26,1,0.26,13.96,14.64
draw,tbb,26,2,0.28,13.98,7.24
draw,tbb,26,2,0.26,13.97,7.22
draw,tbb,26,2,0.30,14.04,7.28
draw,tbb,26,3,0.26,14.28,4.95
draw,tbb,26,3,0.26,14.18,4.92
draw,tbb,26,3,0.26,14.29,4.96
draw,tbb,26,4,0.28,14.43,3.79
draw,tbb,26,4,0.32,14.66,3.86
draw,tbb,26,4,0.29,14.63,3.84
draw,tbb,26,5,0.33,17.83,3.78
draw,tbb,26,5,0.33,17.65,3.72
draw,tbb,26,5,0.32,17.58,3.70
draw,tbb,26,6,0.35,20.62,3.64
draw,tbb,26,6,0.33,20.99,3.68
draw,tbb,26,6,0.34,20.60,3.61
draw,tbb,26,7,0.39,23.64,3.56
draw,tbb,26,7,0.36,23.78,3.57
draw,tbb,26,7,0.37,24.19,3.75
draw,tbb,26,8,0.34,25.25,3.61
draw,tbb,26,8,0.34,25.74,3.44
draw,tbb,26,8,0.35,26.38,3.50
limits,pthread,26,1,0.00,4.26,4.27
limits,pthread,26,1,0.00,4.16,4.17
limits,pthread,26,1,0.00,4.17,4.17
limits,pthread,26,2,0.00,4.18,2.10
limits,pthread,26,2,0.00,4.19,2.10
limits,pthread,26,2,0.00,4.19,2.10
limits,pthread,26,3,0.00,4.22,1.41
limits,pthread,26,3,0.00,4.24,1.42
limits,pthread,26,3,0.00,4.23,1.41
limits,pthread,26,4,0.00,4.30,1.08
limits,pthread,26,4,0.00,4.29,1.08
limits,pthread,26,4,0.00,4.31,1.08
limits,pthread,26,5,0.00,5.33,1.34
limits,pthread,26,5,0.00,5.17,1.29
limits,pthread,26,5,0.00,5.16,1.29
limits,pthread,26,6,0.00,5.87,1.13
limits,pthread,26,6,0.00,5.82,1.11
limits,pthread,26,6,0.00,5.81,1.11
limits,pthread,26,7,0.00,7.02,1.11
limits,pthread,26,7,0.00,6.78,1.07
limits,pthread,26,7,0.00,6.86,1.09
limits,pthread,26,8,0.00,7.69,0.98
limits,pthread,26,8,0.00,7.73,0.99
limits,pthread,26,8,0.01,7.81,1.04
limits,tbb,26,1,0.00,4.16,4.17
limits,tbb,26,1,0.00,4.16,4.17
limits,tbb,26,1,0.00,4.16,4.16
limits,tbb,26,2,0.00,4.18,2.10
limits,tbb,26,2,0.00,4.18,2.09
limits,tbb,26,2,0.00,4.18,2.09
limits,tbb,26,3,0.00,4.24,1.41
limits,tbb,26,3,0.00,4.24,1.41
limits,tbb,26,3,0.00,4.31,1.44
limits,tbb,26,4,0.00,4.36,1.09
limits,tbb,26,4,0.01,4.30,1.08
limits,tbb,26,4,0.00,4.37,1.09
limits,tbb,26,5,0.02,5.21,1.05
limits,tbb,26,5,0.00,5.30,1.06
limits,tbb,26,5,0.00,5.27,1.06
limits,tbb,26,6,0.00,6.10,1.02
limits,tbb,26,6,0.00,6.14,1.02
limits,tbb,26,6,0.00,6.09,1.02
limits,tbb,26,7,0.00,6.92,0.99
limits,tbb,26,7,0.00,6.95,0.99
limits,tbb,26,7,0.00,6.92,0.99
limits,tbb,26,8,0.00,7.70,0.97
limits,tbb,26,8,0.01,7.72,0.97
limits,tbb,26,8,0.01,7.75,0.97
