cmd=limits lib=tbb power=26
threads,sys,user,elapsed
1,0.000,4.160,4.167
2,0.000,4.180,2.093
3,0.000,4.263,1.420
4,0.003,4.343,1.087
5,0.007,5.260,1.057
6,0.000,6.110,1.020
7,0.000,6.930,0.990
8,0.007,7.723,0.970
