cmd=draw lib=pthread power=26
threads,sys,user,elapsed
1,0.240,13.847,14.180
2,0.250,14.083,7.337
3,0.263,14.077,5.130
4,0.267,14.580,4.010
5,0.300,17.677,4.710
6,0.317,20.180,4.223
7,0.337,23.447,4.003
8,0.357,26.373,3.673
