EXPERIMENT thread=1 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.051651,0.000979,0.052743,
slow_a,0.525035,0.000000,0.525697,
slow_b,0.748633,0.000000,0.749765,
slow_c,3.298490,0.000000,3.302033,
slow_d,6.682740,0.000000,6.691427,
slow_e,1.728531,0.000000,1.738830,
slow_f,0.127480,0.000000,0.127658,

