EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.101067,0.000000,0.050696,
slow_a,1.039217,0.000000,0.520465,
slow_b,2.972026,0.000989,1.495413,
slow_c,6.951705,0.000001,3.497102,
slow_d,29.959774,49.107362,39.591004,
slow_e,2.404268,0.001827,1.209393,
slow_f,0.201951,0.001387,0.123229,

