thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,51114,190778474,255766804,612980829,
1,0,slow_a,7888141,240789580,538147963,1703023136,
1,0,slow_b,7897094,1188025022,3073608996,4613046325,
1,0,slow_c,7875886,222037011,462710770,1394273648,
1,0,slow_d,7957733,4690788047,25392918739,11613031826,
1,0,slow_e,7877499,240788517,535419473,1703023207,
1,0,slow_f,7878816,222044142,724949804,2206799144,
2,1,fast,37753,190780956,524943501,632988473,
2,1,slow_a,7873839,240792658,1040045679,1723028037,
2,1,slow_b,15083126,1190743757,11831005402,4633066170,
2,1,slow_c,7876037,222042699,907069418,1414280909,
2,1,slow_d,8145803,5291728166,52539350931,16049547034,
2,1,slow_e,7869689,240794049,1040992486,1723033055,
2,1,slow_f,7879027,222052155,1264907068,2226825259,
2,0,fast,51857,190780422,527301541,632986618,
2,0,slow_a,7890010,240791533,812367165,1723029892,
2,0,slow_b,113339920,1189323258,12782547720,4633066335,
2,0,slow_c,7889835,222040287,777863841,1414279176,
2,0,slow_d,798724875,5199665859,102162001702,15243319226,
2,0,slow_e,7865146,240792983,861780201,1723028206,
2,0,slow_f,7872519,222052449,1021961123,2226824833,
