thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7870292,222040009,451227489,1394273676,
1,0,slow_a,7873629,2695789894,2242897300,6653022092,
1,0,slow_b,7874005,1190718969,3079958180,4613046342,
1,0,slow_c,7895609,1690791945,12742449387,5113025484,
1,0,slow_d,7921762,4690794647,25289088555,11613031772,
1,0,slow_e,502650492,690671446,4987292564,5113064181,
1,0,slow_f,7870059,222045602,717672038,2206799107,
2,1,fast,7875715,222042649,905395552,1414280888,
2,1,slow_a,7877377,2695794719,4457976908,6673028667,
2,1,slow_b,15237987,1190740034,11785007633,4633068027,
2,1,slow_c,7910189,1690796887,26882255281,5133035189,
2,1,slow_d,8685244,5275991121,52158586720,15935442498,
2,1,slow_e,391569687,690770807,7185151627,5133068819,
2,1,slow_f,7878880,222052379,1264941773,2226826580,
2,0,fast,7874605,222044128,764313304,1414279147,
2,0,slow_a,7881702,2695792745,2531155029,6673026192,
2,0,slow_b,209508124,1190749204,20030107550,4633068201,
2,0,slow_c,550941300,1690467924,91246064320,5133050550,
2,0,slow_d,857357764,5213340869,107855898706,15370433719,
2,0,slow_e,662494679,690616934,10962358018,5133070194,
2,0,slow_f,7882623,222054035,1011448647,2226825289,
